SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,5506 N Kildare Ave,Chicago,IL,60630,597000,4,2.5,North Park,3000,5732,1999,4,199,,Active,February-23-2020 01:00 PM,February-23-2020 04:00 PM,http://www.redfin.com/IL/Chicago/5506-N-Kildare-Ave-60630/home/12727048,MRED,10640458,N,Y,41.9811096,-87.7366145
MLS Listing,,Condo/Co-op,1055 N HERMITAGE Ave #2,Chicago,IL,60622,474700,2,2.0,West Town,1250,,2006,4,380,164,Active,February-22-2020 02:00 PM,February-22-2020 04:00 PM,http://www.redfin.com/IL/Chicago/1055-N-Hermitage-Ave-60622/unit-2/home/18941080,MRED,10640472,N,Y,41.9012264,-87.6707586
MLS Listing,,Townhouse,3256 W ARMITAGE Ave #3,Chicago,IL,60647,410000,3,2.5,Logan Square,1976,954,2004,4,207,160,Active,February-23-2020 09:30 AM,February-23-2020 11:30 AM,http://www.redfin.com/IL/Chicago/3256-W-Armitage-Ave-60647/unit-3/home/12622453,MRED,10640304,N,Y,41.9176186,-87.7093203
MLS Listing,,Condo/Co-op,3754 N Fremont St #4,Chicago,IL,60613,510000,2,2.0,Lake View,1600,,2006,4,319,264,Active,,,http://www.redfin.com/IL/Chicago/3754-N-Fremont-St-60613/unit-4/home/18931851,MRED,10640272,N,Y,41.950715,-87.6523597
MLS Listing,,Single Family Residential,2831 N Newland Ave,Chicago,IL,60634,499900,4,2.5,Montclare,2750,4782,2020,4,182,,Active,February-23-2020 11:00 AM,February-23-2020 01:00 PM,http://www.redfin.com/IL/Chicago/2831-N-Newland-Ave-60634/home/13436112,MRED,10640259,N,Y,41.9318064,-87.7986381
MLS Listing,,Townhouse,3239 S Stewart Ave,Chicago,IL,60616,499000,4,3.5,Armour Square,2600,1092,2020,4,192,107,Active,,,http://www.redfin.com/IL/Chicago/3239-S-Stewart-Ave-60616/home/170586239,MRED,10640119,N,Y,41.8351906,-87.6358054
MLS Listing,,Condo/Co-op,824 S Bell Ave #3,Chicago,IL,60612,469000,2,2.0,Near West Side,1400,,2020,4,335,180,Active,,,http://www.redfin.com/IL/Chicago/824-S-Bell-Ave-60612/unit-3/home/170584814,MRED,10640030,N,Y,41.8706218,-87.6827252
MLS Listing,,Condo/Co-op,824 S Bell Ave #2,Chicago,IL,60612,439000,2,2.0,Near West Side,1400,,2020,4,314,150,Active,,,http://www.redfin.com/IL/Chicago/824-S-Bell-Ave-60612/unit-2/home/170584642,MRED,10640025,N,Y,41.8706218,-87.6827252
MLS Listing,,Condo/Co-op,824 S Bell Ave #1,Chicago,IL,60612,559000,3,2.5,Near West Side,2400,,2020,4,233,250,Active,,,http://www.redfin.com/IL/Chicago/824-S-Bell-Ave-60612/unit-1/home/14088497,MRED,10640009,N,Y,41.8706094,-87.6828217
MLS Listing,,Single Family Residential,5145 N MEADE Ave,Chicago,IL,60630,484900,4,3.0,Jefferson Park,2400,4090,2001,4,202,,Active,,,http://www.redfin.com/IL/Chicago/5145-N-Meade-Ave-60630/home/12775579,MRED,10640000,N,Y,41.9752448,-87.7802725
MLS Listing,,Condo/Co-op,3625 N Lakewood Ave Unit 3N,Chicago,IL,60613,609000,2,2.0,Lake View,1500,,2003,4,406,213,Active,February-23-2020 10:00 AM,February-23-2020 12:00 PM,http://www.redfin.com/IL/Chicago/3625-N-Lakewood-Ave-60613/unit-3N/home/12683383,MRED,10639591,N,Y,41.947854,-87.661253
MLS Listing,,Single Family Residential,5356 N Lowell Ave,Chicago,IL,60630,648500,4,2.5,North Park,3500,5096,2001,4,185,13,Active,February-23-2020 12:00 PM,February-23-2020 02:00 PM,http://www.redfin.com/IL/Chicago/5356-N-Lowell-Ave-60630/home/12797251,MRED,10639953,N,Y,41.9797437,-87.7379993
MLS Listing,,Townhouse,2231 N Lister Ave Unit C,Chicago,IL,60614,354900,2,2.0,Logan Square,1300,,1997,5,273,165,Active,,,http://www.redfin.com/IL/Chicago/2231-N-Lister-Ave-60614/unit-C/home/12772258,MRED,10639878,N,Y,41.9222122,-87.6746333
MLS Listing,,Condo/Co-op,2826 W Fletcher St #2,Chicago,IL,60618,599900,3,2.5,Avondale,1448,,2020,5,414,125,Active,February-23-2020 11:00 AM,February-23-2020 01:00 PM,http://www.redfin.com/IL/Chicago/2826-W-Fletcher-St-60618/unit-2/home/170583814,MRED,10639839,N,Y,41.9386496,-87.6989207
MLS Listing,,Condo/Co-op,2826 W Fletcher St #1,Chicago,IL,60618,599900,3,2.5,Avondale,1945,,2020,5,308,125,Active,February-23-2020 11:00 AM,February-23-2020 01:00 PM,http://www.redfin.com/IL/Chicago/2826-W-Fletcher-St-60618/unit-1/home/170583801,MRED,10639838,N,Y,41.9386496,-87.6989207
MLS Listing,,Condo/Co-op,669 N PEORIA St Unit 2S,Chicago,IL,60642,485000,2,2.0,West Town,1450,,2002,5,334,285,Active,February-23-2020 12:00 PM,February-23-2020 02:30 PM,http://www.redfin.com/IL/Chicago/669-N-Peoria-St-60642/unit-2S/home/12705932,MRED,10639782,N,Y,41.8942459,-87.6498296
MLS Listing,,Condo/Co-op,5748 N Hermitage Ave #203,Chicago,IL,60660,650000,3,2.0,Edgewater,1638,,2020,5,397,225,Active,February-23-2020 01:00 PM,February-23-2020 03:00 PM,http://www.redfin.com/IL/Chicago/5748-N-Hermitage-Ave-60660/unit-203/home/160304284,MRED,10639529,N,Y,41.9862354,-87.6733018
MLS Listing,,Condo/Co-op,616 W Fulton St #215,Chicago,IL,60661,440000,2,2.0,Near West Side,1265,,1997,5,348,415,Active,February-23-2020 12:00 PM,February-23-2020 02:00 PM,http://www.redfin.com/IL/Chicago/616-W-Fulton-St-60661/unit-215/home/14101259,MRED,10639193,N,Y,41.8871643,-87.6438007
MLS Listing,,Condo/Co-op,4880 N Clark St Unit 3C,Chicago,IL,60640,430000,2,2.0,Uptown,1704,,2007,5,252,351,Active,,,http://www.redfin.com/IL/Chicago/4880-N-Clark-St-60640/unit-3C/home/26807418,MRED,10639181,N,Y,41.971214,-87.668284
MLS Listing,,Condo/Co-op,3046 N Oakley Ave Unit 3S,Chicago,IL,60618,425000,2,2.0,North Center,1250,,2004,5,340,216,Active,,,http://www.redfin.com/IL/Chicago/3046-N-Oakley-Ave-60618/unit-3S/home/12631901,MRED,10639148,N,Y,41.937231,-87.68592
MLS Listing,,Condo/Co-op,1131 W Grace St #3,Chicago,IL,60613,619000,2,2.0,Lake View,1550,,2006,5,399,131,Active,February-23-2020 11:00 AM,February-23-2020 01:00 PM,http://www.redfin.com/IL/Chicago/1131-W-Grace-St-60613/unit-3/home/18943132,MRED,10639037,N,Y,41.950803,-87.6580679
MLS Listing,,Condo/Co-op,5135 N LINCOLN Ave Unit 4N,Chicago,IL,60625,649500,3,2.0,Lincoln Square,1800,,2020,5,361,299,Active,,,http://www.redfin.com/IL/Chicago/5135-N-Lincoln-Ave-60625/unit-4N/home/170582384,MRED,10639019,N,Y,41.9750955,-87.6919519
MLS Listing,,Condo/Co-op,5135 N LINCOLN Ave Unit 2N,Chicago,IL,60625,599500,3,2.0,Lincoln Square,1800,,2020,5,333,299,Active,,,http://www.redfin.com/IL/Chicago/5135-N-Lincoln-Ave-60625/unit-2N/home/170582383,MRED,10639017,N,Y,41.9750955,-87.6919519
MLS Listing,,Condo/Co-op,1410 W Belmont Ave #2,Chicago,IL,60657,499500,3,2.0,Lake View,,,2002,5,,151,Active,,,http://www.redfin.com/IL/Chicago/1410-W-Belmont-Ave-60657/unit-2/home/12700701,MRED,10638987,N,Y,41.9400213,-87.664308
MLS Listing,,Single Family Residential,2421 W GRENSHAW St,Chicago,IL,60612,629900,4,3.5,Near West Side,3200,2200,2016,6,197,,Active,,,http://www.redfin.com/IL/Chicago/2421-W-Grenshaw-St-60612/home/22729068,MRED,10638917,N,Y,41.867256,-87.686998
MLS Listing,,Single Family Residential,1934 N Albany Ave,Chicago,IL,60647,649000,3,3.0,Logan Square,1556,3136,1998,7,417,,Active,,,http://www.redfin.com/IL/Chicago/1934-N-Albany-Ave-60647/home/13416162,MRED,10638269,N,Y,41.9166248,-87.705542
MLS Listing,,Townhouse,4754 N LAMON Ave #4704,Chicago,IL,60630,365000,3,3.0,Portage Park,2100,,2005,8,174,382,Active,,,http://www.redfin.com/IL/Chicago/4754-N-Lamon-Ave-60630/unit-4704/home/21626644,MRED,10638225,N,Y,41.9678486,-87.7509846
MLS Listing,,Townhouse,1120 Pitner Ave,Evanston,IL,60202,639000,4,2.5,Evanston,2400,4175,2020,8,266,,Active,February-23-2020 02:30 PM,February-23-2020 04:30 PM,http://www.redfin.com/IL/Evanston/1120-Pitner-Ave-60202/home/170577588,MRED,10638064,N,Y,42.0381875,-87.7057837
MLS Listing,,Townhouse,1118 Pitner Ave,Evanston,IL,60202,639000,4,2.5,Evanston,2400,4175,2020,8,266,,Active,February-23-2020 02:30 PM,February-23-2020 04:30 PM,http://www.redfin.com/IL/Evanston/1118-Pitner-Ave-60202/home/170577500,MRED,10638059,N,Y,42.0380978,-87.7057872
MLS Listing,,Single Family Residential,4433 S Drake Ave,Chicago,IL,60632,429900,5,3.0,Brighton Park,2600,3685,2019,8,165,,Active,February-23-2020 12:00 PM,February-23-2020 02:00 PM,http://www.redfin.com/IL/Chicago/4433-S-Drake-Ave-60632/home/113111437,MRED,10637694,N,Y,41.8124896,-87.7125366
MLS Listing,,Townhouse,514 Keeney St,Evanston,IL,60202,415000,2,2.0,Evanston,2200,960,2003,8,189,285,Active,,,http://www.redfin.com/IL/Evanston/514-Keeney-St-60202/home/12687570,MRED,10631700,N,Y,42.029222,-87.6776919
MLS Listing,,Townhouse,1124 Pitner Ave,Evanston,IL,60202,639000,4,2.5,Evanston,2400,4175,2020,8,266,,Active,February-23-2020 02:30 PM,February-23-2020 04:30 PM,http://www.redfin.com/IL/Evanston/1124-Pitner-Ave-60202/home/170574435,MRED,10637388,N,Y,42.0383669,-87.7057767
MLS Listing,,Townhouse,1110 Pitner Ave,Evanston,IL,60202,639000,4,2.5,Evanston,2400,4175,2020,8,266,,Active,February-23-2020 02:30 PM,February-23-2020 04:30 PM,http://www.redfin.com/IL/Evanston/1110-Pitner-Ave-60202/home/170574374,MRED,10637377,N,Y,42.0378396,-87.7057973
MLS Listing,,Townhouse,525 South Blvd,Evanston,IL,60202,469900,3,2.5,Evanston,2205,,2004,8,213,285,Active,,,http://www.redfin.com/IL/Evanston/525-South-Blvd-60202/home/12686685,MRED,10637349,N,Y,42.027446,-87.677796
MLS Listing,,Condo/Co-op,1555 N Wood St #203,Chicago,IL,60622,599900,3,2.0,West Town,1750,,2003,8,343,392,Active,,,http://www.redfin.com/IL/Chicago/1555-N-Wood-St-60622/unit-203/home/12616840,MRED,10637244,N,Y,41.9104002,-87.6722448
MLS Listing,,Single Family Residential,1642 SCOVILLE Ave,Berwyn,IL,60402,400000,3,2.5,Berwyn,2268,3781,2006,9,176,,Active,February-23-2020 12:00 AM,February-23-2020 03:00 PM,http://www.redfin.com/IL/Berwyn/1642-Scoville-Ave-60402/home/13242516,MRED,10637092,N,Y,41.8564757,-87.787612
MLS Listing,,Condo/Co-op,3344 N Halsted St Unit 3N,Chicago,IL,60657,619900,3,2.0,Lake View,1800,,2006,9,344,461,Active,,,http://www.redfin.com/IL/Chicago/3344-N-Halsted-St-60657/unit-3N/home/21798730,MRED,10636987,N,Y,41.9431521,-87.6496552
MLS Listing,,Townhouse,1116 Pitner Ave,Evanston,IL,60202,639000,4,2.5,Evanston,2400,4175,2020,9,266,,Active,February-23-2020 02:30 PM,February-23-2020 04:30 PM,http://www.redfin.com/IL/Evanston/1116-Pitner-Ave-60202/home/170571181,MRED,10636961,N,Y,42.0380081,-87.7057907
